31.02.001;TCC00247;TCC04093
31.02.001;TCC00246;TCC04097
31.02.001;TCC00248;TCC04094
31.02.001;TCC00243;TCC04103
31.02.001;TCC00242;TCC04102
31.02.001;TCC00249;TCC04095
31.02.001;TCC00241;TCC04101
31.02.001;TCC00250;TCC04087
31.02.001;TCC00251;TCC04088
31.02.001;TCC00262;TCC04149
31.02.001;TCC00252;TCC04089
31.02.002;TCC00272;TCC04142
31.02.002;TCC00271;TCC04141
31.02.002;TCC00273;TCC04143
31.02.002;TCC00235;TCC04123
31.02.002;TCC00237;TCC04098
31.02.002;TCC00239;TCC04100
31.02.002;TCC00234;TCC04122
31.02.002;TCC00238;TCC04099
31.02.002;TCC00236;TCC04124
31.02.002;TCC00248;TCC04094
31.02.002;TCC00244;TCC04095
31.02.002;TCC00246;TCC04097
31.02.002;TCC00245;TCC04096
31.02.002;TCC00247;TCC04093
31.02.002;TCC00259;TCC04110
31.02.002;TCC00260;TCC04111
31.02.002;TCC00263;TCC04150
31.02.002;TCC00262;TCC04149
31.02.002;TCC00264;TCC04151
31.02.002;TCC00275;TCC04108
31.02.002;TCC00261;TCC04112
31.02.002;TCC00269;TCC04114
31.02.002;TCC00268;TCC04113
31.02.002;TCC00265;TCC04138
31.02.002;TCC00270;TCC04115
31.02.002;TCC00267;TCC04140
31.02.002;TCC00274;TCC04107
31.02.002;TCC00266;TCC04139
31.01.002;TCC04096;TCC00245
31.01.002;TCC04092;TCC00247
31.01.002;TCC04099;TCC00238
31.01.002;TCC04097;TCC00246
31.01.002;TCC04100;TCC00239
31.01.002;TCC04095;TCC00244
31.01.002;TCC04098;TCC00237
31.01.002;TCC04087;TCC00250
31.01.002;TCC04088;TCC00251
31.01.002;TCC04089;TCC00252
31.02.001;TCC00180;TCC00225
31.01.002;TCC04021;TCC00224
31.01.002;TCC04081;TCC00225
31.02.002;TCC00303;TCC00174
31.02.002;TCC00309;TCC00174
31.02.001;TCC00171;TCC00294
42.01.001;GGM03077;REG00008
42.01.001;TEP04051;REG00032
42.01.001;TEE03064;TEE04034
42.01.001;TEP00138;TEC02105
42.01.001;GQI04019;GQI03009
42.01.001;TEM04095;REG00013
42.01.001;TEP03042;TEP04013
42.01.001;GMA06071;GMA02059
42.01.001;TEP03048;REG00043
42.01.001;GMA00109;GMA00021
42.01.001;STA04003;REG00039
42.01.001;GMA00112;GMA00014
42.01.001;GMA06071;GMA04060
42.01.001;GAN06118;GAN04061
42.01.001;GLC00292;CED00001
42.01.001;GAN06118;RFM00006
42.01.001;GQI04019;GQI01010
42.01.001;GMA06074;GMA04002
42.01.001;TEP04040;REG00031
42.01.001;GMA06074;RFM00003
42.01.001;GGM02055;REG00008
42.01.001;TCC03059;TCC04001
42.01.001;TEP04027;REG00026
42.01.001;GFI05103;GFI07004
42.01.001;TEP03042;REG00002
42.01.001;GMA00108;GMA00019
42.01.001;GGM03077;GGM04001
42.01.001;STA04001;STA00128
42.01.001;TEP01054;REG00020
42.01.001;TEP00175;TEP00153
42.01.001;STA04001;REG00011
42.01.001;GQI04019;TEQ04078
42.01.001;SDB03073;REG00010
42.01.001;GAN06118;GGM04078
42.01.001;TCC03063;RCM00003
42.01.001;TDT03015;TDT03002
42.01.001;TEP03052;REG00040
42.01.001;GFI05100;RFM00007
42.01.001;GMA00111;GMA00023
42.01.001;TEC04080;REG00004
42.01.001;TEP03041;TEP04013
42.01.001;TEP03050;REG00028
42.01.001;TDT00038;TDT00076
42.01.001;STA04002;STA00153
42.01.001;GFI05101;RFM00011
42.01.001;TEP04065;REG00051
42.01.001;TEP03039;REG00036
42.01.001;GET00119;GET00177
42.01.001;TCC03059;RFM00015
42.01.001;TCC00279;TCC00323
42.01.001;TEP03075;REG00025
42.01.001;TEP04004;REG00027
42.01.001;GMA06071;RFM00004
42.01.001;GAN06118;RFM00005
42.01.001;TEP00138;TEP02038
42.01.001;GMA00110;GMA00022
42.01.001;TEM04096;REG00015
42.01.001;GMA04043;GMA06001
42.01.001;GET00174;GET00177
42.01.001;TCC00278;TCC00320
42.01.001;GET04021;REG00018
42.01.001;TEP03021;REG00018
42.01.001;GFI05101;RFM00012
42.01.001;TEC04099;REG00014
42.01.001;GMA04043;RFM00001
42.01.001;TDT03015;TDT03001
42.01.001;TDT03015;REG00009
42.01.001;GGE04057;GGE02055
42.01.001;GET00114;GET00178
42.01.001;GMA00112;GMA00024
42.01.001;TCC03063;TCC03004
42.01.001;TEP05033;REG00044
42.01.001;TEP03041;REG00058
42.01.001;GMA06074;RFM00002
42.01.001;GAN06118;GMA02008
42.01.001;TEP04044;REG00035
42.01.001;TEP04070;REG00050
42.01.001;TEP04064;REG00056
42.01.001;TEP04025;REG00059
42.01.001;GMA04004;RFM00017
42.01.001;GMA06071;RFM00002
42.01.001;TEP04023;REG00045
42.01.001;TEP03046;REG00030
42.01.001;GET04021;GET00177
42.01.001;GQI04019;REG00003
42.01.001;TEP07045;REG00022
42.01.001;TEP04022;REG00024
42.01.001;TEE03064;REG00005
42.01.001;SDB03073;SDB03066
42.01.001;TEP04009;REG00041
42.01.001;GFI05101;GFI06002
42.01.001;TEP04017;REG00023
42.01.001;GFI05100;GFI06001
42.01.001;GET04021;GET04003
42.01.001;TEP03015;REG00037
42.01.001;TEC03188;REG00006
42.01.001;TEP01055;REG00021
42.01.001;GFI05102;GFI06003
42.01.001;TCC03060;TCC03004
63.01.001;REG00031;TEP04040
63.01.001;RCN00023;GAN06118
63.01.001;REG00008;GGM03077
63.01.001;REG00026;TEP04027
63.01.001;REG00022;TEP07045
63.01.001;RCN00030;GFI05101
63.01.001;RCN00025;GFI05100
63.01.001;REG00027;TEP04004
63.01.001;RCN00020;GMA06074
63.01.001;REG00045;TEP04023
63.01.001;REG00051;TEP04065
63.01.001;REG00015;TEM04096
63.01.001;REG00011;STA04001
63.01.001;REG00013;TEM04095
63.01.001;REG00008;GGM02055
63.01.001;REG00014;TEC04099
63.01.001;REG00040;TEP03052
63.01.001;REG00036;TEP03039
63.01.001;REG00018;GET04021
63.01.001;REG00018;TEP03021
63.01.001;REG00041;TEP04009
63.01.001;REG00004;TEC04080
63.01.001;RCM00003;TCC03063
63.01.001;REG00019;TEC02105
63.01.001;REG00005;TEE03064
63.01.001;RCN00019;GMA04043
63.01.001;REG00056;TEP04064
63.01.001;REG00050;TEP04070
63.01.001;REG00002;TEP03042
63.01.001;REG00035;TEP04044
63.01.001;RCN00022;GMA06071
63.01.001;REG00006;TEC03188
63.01.001;RCN00021;GMA06074
63.01.001;REG00028;TEP03050
63.01.001;REG00039;STA04003
63.01.001;REG00023;TEP04017
63.01.001;REG00032;TEP04051
63.01.001;REG00030;TEP03046
63.01.001;RCN00024;GAN06118
63.01.001;REG00043;TEP03048
63.01.001;RCN00029;GFI05101
63.01.001;REG00010;SDB03073
63.01.001;REG00020;TEP01054
63.01.001;REG00009;TDT03015
63.01.001;REG00003;GQI04019
63.01.001;RCN00035;GMA04004
63.01.001;REG00021;TEP01055
63.01.001;REG00044;TEP05033
63.01.001;REG00037;TEP03015
63.01.001;GLC00292;CED00001
63.01.001;REG00059;TEP04025
63.01.001;RCN00033;TCC03059
63.01.001;REG00025;TEP03075
63.01.001;REG00025;TEP03075
63.01.001;REG00058;TEP03041
63.01.001;REG00024;TEP04022
63.01.001;RCN00020;GMA06071
60.01.001;RCM00017;TCC04022
60.01.001;RCM00022;TCC04036
60.01.001;RCN00043;RFM00003
60.01.001;RCM00020;TCC00183
60.01.001;RCN00044;GAN04136
60.01.001;RCN00037;GET04021
60.01.001;RCM00020;TCC04028
60.01.001;RCM00027;TCC04084
60.01.001;RCM00007;TCC04068
60.01.001;RCM00001;TCC03069
60.01.001;RCM00003;TCC05072
