31.02.001;TCC00191;7;68;0;GMA00111;3
31.02.001;TCC00191;7;68;0;GMA00121;2
31.02.001;TCC00191;7;68;0;TCC00164;4
31.02.001;TCC00191;7;68;0;TCC00165;1
31.02.001;TCC00191;7;68;0;TCC00166;4
31.02.001;TCC00191;7;68;0;TCC00167;4
31.02.001;TCC00191;7;68;0;TCC00168;3
31.02.001;TCC00191;7;68;0;TCC00170;3
31.02.001;TCC00191;7;68;0;TCC00171;3
31.02.001;TCC00191;7;68;0;TCC00172;4
31.02.001;TCC00191;7;68;0;TCC00173;1
31.02.001;TCC00191;7;68;0;TCC00174;2
31.02.001;TCC00191;7;68;0;TCC00175;4
31.02.001;TCC00191;7;68;0;TCC00215;4
31.02.001;TCC00191;7;68;0;TET00185;3
31.02.001;TCC00191;7;68;0;TET00186;3
31.02.001;TCC00192;8;68;0;TCC00191;7
31.02.002;GGM00127;1;60;0;Ingresso;-
31.02.002;GMA00019;1;60;0;Ingresso;-
31.02.002;TCC00296;1;60;0;Ingresso;-
31.02.002;TCC00301;1;60;0;Ingresso;-
31.02.002;TCC00308;1;60;0;Ingresso;-
31.02.002;TCC00301;1;0;32;TCC00308;1
31.02.002;GMA00021;2;60;0;GMA00019;1
31.02.002;GMA00022;2;60;0;GGM00127;1
31.02.002;GMA00022;2;60;0;GMA00019;1
31.02.002;TET00036;2;0;32;TET00035;2
31.02.002;TCC00303;2;0;32;TCC00308;1
31.02.002;TCC00309;2;32;32;TCC00308;1
31.02.002;TET00035;2;64;0;TCC00296;1
31.02.002;TET00036;2;0;32;TET00035;2
31.02.002;GAN00140;3;60;0;GGM00127;1
31.02.002;GET00122;3;68;0;GMA00019;1
31.02.002;GFI00158;3;68;0;GMA00019;1
31.02.002;GFI00161;3;0;30;GFI00158;3
31.02.002;TCC00286;3;64;0;TET00035;2
31.02.002;TCC00294;3;48;16;TCC00309;2
31.02.002;TCC00300;3;0;32;TCC00309;2
31.02.002;GAN00166;4;60;0;GAN00167;2
31.02.002;GFI00159;4;68;0;GMA00021;2
31.02.002;GFI00159;4;68;0;GMA00022;2
31.02.002;GFI00159;4;68;0;GFI00158;3
31.02.002;GFI00162;4;0;30;GFI00159;4
31.02.002;GFI00162;4;0;30;GFI00161;3
31.02.002;TCC00287;4;64;0;TCC00294;3
31.02.002;TCC00292;4;64;0;TCC00294;3
31.02.002;TCC00295;4;48;16;TCC00294;3
31.02.002;TCC00316;4;64;0;TCC00286;3
31.02.002;TCC00285;5;64;0;TCC00294;3
31.02.002;TCC00288;5;64;0;TCC00287;4
